Age,Gender,Education Level,Job Title,Years of Experience,Salary
63,Male,PhD,Junior Developer,43,183529.1260537455
63,Female,PhD,Junior Developer,43,181428.48098657824
63,Other,PhD,Junior Developer,43,181326.58369771545
64,Male,Master's,Software Developer,2,50131.525075455655
64,Female,Master's,Software Developer,2,45987.497986439535
64,Other,Master's,Software Developer,2,47098.23272888667
50,Male,PhD,Director of Engineering,28,189557.90683942105
50,Female,PhD,Director of Engineering,28,189389.33160754645
50,Other,PhD,Director of Engineering,28,189269.7174000947
59,Male,Master's,Product Manager,40,185897.8065255699
59,Female,Master's,Product Manager,40,172867.76232220538
59,Other,Master's,Product Manager,40,175809.7623614257
22,Male,Master's,Senior Human Resources Manager,17,156139.22494341407
22,Female,Master's,Senior Human Resources Manager,17,152819.90910525754
22,Other,Master's,Senior Human Resources Manager,17,152720.7809344468
62,Male,Master's,Marketing Coordinator,14,140476.79196964772
62,Female,Master's,Marketing Coordinator,14,132952.99999504068
62,Other,Master's,Marketing Coordinator,14,133623.26993157668
29,Male,Bachelor's,Software Engineer,1,42941.08392247797
29,Female,Bachelor's,Software Engineer,1,56208.9904426584
29,Other,Bachelor's,Software Engineer,1,51410.55135743058
42,Male,Bachelor's,Junior HR Generalist,15,145124.26306466782
42,Female,Bachelor's,Junior HR Generalist,15,139993.3082198293
42,Other,Bachelor's,Junior HR Generalist,15,140219.45764286845
31,Male,High School,Software Project Manager,26,147012.15395346476
31,Female,High School,Software Project Manager,26,147382.08576068937
31,Other,High School,Software Project Manager,26,147834.1338730283
21,Male,PhD,Technical Support Specialist,17,121942.00163709105
21,Female,PhD,Technical Support Specialist,17,119642.39488199295
21,Other,PhD,Technical Support Specialist,17,119961.27045813609
55,Male,High School,Event Coordinator,25,148609.92745155684
55,Female,High School,Event Coordinator,25,140776.76349492063
55,Other,High School,Event Coordinator,25,143208.69932591068
57,Male,High School,Senior Marketing Coordinator,16,136964.51801979484
57,Female,High School,Senior Marketing Coordinator,16,129762.7293914514
57,Other,High School,Senior Marketing Coordinator,16,130271.24086573992
66,Male,Bachelor's,Software Manager,7,86348.24285506498
66,Female,Bachelor's,Software Manager,7,78113.96387732106
66,Other,Bachelor's,Software Manager,7,79468.18455459608
18,Male,Bachelor's,Junior Sales Representative,12,154042.13853201753
18,Female,Bachelor's,Junior Sales Representative,12,157339.2671530478
18,Other,Bachelor's,Junior Sales Representative,12,156487.6215303002
26,Male,Bachelor's,Chief Data Officer,10,182159.0275954952
26,Female,Bachelor's,Chief Data Officer,10,184081.9783428029
26,Other,Bachelor's,Chief Data Officer,10,183600.29783896884
39,Male,High School,Marketing Director,35,176056.55963997106
39,Female,High School,Marketing Director,35,162331.85581787254
39,Other,High School,Marketing Director,35,167255.70807119127
49,Male,Bachelor's,Senior Marketing Coordinator,7,80244.85119408398
49,Female,Bachelor's,Senior Marketing Coordinator,7,73138.88887395423
49,Other,Bachelor's,Senior Marketing Coordinator,7,74299.21354255725
40,Male,Bachelor's,Digital Content Producer,9,109394.43869689114
40,Female,Bachelor's,Digital Content Producer,9,105541.7614461901
40,Other,Bachelor's,Digital Content Producer,9,107317.34550884747
65,Male,PhD,Human Resources Director,8,94115.1056965875
65,Female,PhD,Human Resources Director,8,84433.48648483118
65,Other,PhD,Human Resources Director,8,86000.762043184
50,Male,High School,Senior Data Analyst,32,153819.99714451356
50,Female,High School,Senior Data Analyst,32,147120.32857964069
50,Other,High School,Senior Data Analyst,32,149023.5692236551
41,Male,PhD,Help Desk Analyst,37,172956.90242121488
41,Female,PhD,Help Desk Analyst,37,168130.42609100012
41,Other,PhD,Help Desk Analyst,37,168650.33322756237
48,Male,High School,Social Media Specialist,42,166387.66255558355
48,Female,High School,Social Media Specialist,42,158126.6208771776
48,Other,High School,Social Media Specialist,42,160125.44891201056
19,Male,Bachelor's,Senior Business Development Manager,20,162249.4365721966
19,Female,Bachelor's,Senior Business Development Manager,20,158004.36250999008
19,Other,Bachelor's,Senior Business Development Manager,20,158408.80749083913
58,Male,Master's,Junior Advertising Coordinator,3,46500.743051552934
58,Female,Master's,Junior Advertising Coordinator,3,44442.64597785489
58,Other,Master's,Junior Advertising Coordinator,3,44730.838247478976
35,Male,Master's,Senior Software Developer,10,116374.6906821885
35,Female,Master's,Senior Software Developer,10,108247.91262297702
35,Other,Master's,Senior Software Developer,10,110113.76743149369
20,Male,High School,Junior Product Manager,1,24709.04307428188
20,Female,High School,Junior Product Manager,1,24768.142537678028
20,Other,High School,Junior Product Manager,1,28571.183810256218
34,Male,Master's,Senior Marketing Manager,47,155240.44331454157
34,Female,Master's,Senior Marketing Manager,47,147744.28216577377
34,Other,Master's,Senior Marketing Manager,47,149428.20458699294
37,Male,Master's,IT Support,8,99990.0081577501
37,Female,Master's,IT Support,8,88846.6988038796
37,Other,Master's,IT Support,8,90317.29523192975
70,Male,PhD,UX Researcher,14,173337.79466851312
70,Female,PhD,UX Researcher,14,171811.83560676567
70,Other,PhD,UX Researcher,14,171948.00904842943
68,Male,Bachelor's,Help Desk Analyst,3,40675.040135984746
68,Female,Bachelor's,Help Desk Analyst,3,38606.212053612806
68,Other,Bachelor's,Help Desk Analyst,3,38894.404323236886
20,Male,PhD,Director of Human Resources,12,127073.7409230734
20,Female,PhD,Director of Human Resources,12,130746.57227356714
20,Other,PhD,Director of Human Resources,12,130101.2508192758
52,Male,High School,IT Support,50,174515.55889093183
52,Female,High School,IT Support,50,166311.43695480796
52,Other,High School,IT Support,50,168055.00795248058
39,Male,Bachelor's,Account Manager,36,171653.32881328446
39,Female,Bachelor's,Account Manager,36,165076.2055296027
39,Other,Bachelor's,Account Manager,36,166360.2603975338
70,Male,PhD,Senior Operations Coordinator,8,102077.74224094089
70,Female,PhD,Senior Operations Coordinator,8,94051.86588349953
70,Other,PhD,Senior Operations Coordinator,8,95159.51476973786
31,Male,PhD,Senior Marketing Coordinator,18,149342.37419283701
31,Female,PhD,Senior Marketing Coordinator,18,145121.02498387205
31,Other,PhD,Senior Marketing Coordinator,18,146580.41394596413
28,Male,PhD,Back end Developer,22,154345.84958833628
28,Female,PhD,Back end Developer,22,151767.11696851873
28,Other,PhD,Back end Developer,22,154243.141125547
40,Male,Master's,Senior Graphic Designer,22,133195.37360790969
40,Female,Master's,Senior Graphic Designer,22,125013.35515211448
40,Other,Master's,Senior Graphic Designer,22,127021.53794190446
66,Male,PhD,Senior Product Designer,9,103956.7940856044
66,Female,PhD,Senior Product Designer,9,98199.63429267003
66,Other,PhD,Senior Product Designer,9,100145.51160136245
23,Male,PhD,Junior Financial Analyst,29,122708.91450677758
23,Female,PhD,Junior Financial Analyst,29,119229.26762521367
23,Other,PhD,Junior Financial Analyst,29,119938.11026846062
