Age,Gender,Education Level,Job Title,Years of Experience,Salary
38,Other,Bachelor,Senior Human Resources Coordinator,10,80000.0
35,Other,Master,Senior Project Engineer,8,101332.0
26,Male,High School,Sales Manager,2,40000.0
48,Other,PhD,Director of Data Science,18,210000.0
30,Other,Master,Financial Analyst,6,100000.0
45,Male,PhD,Senior Software Engineer,13,185000.0
32,Male,Bachelor,Director of Marketing,8,80000.0
33,Female,Bachelor,Full Stack Engineer,6,115000.0
39,Other,Bachelor,Sales Director,10,100000.0
34,Other,Master,Software Engineer Manager,9,146075.0
43,Male,PhD,Senior Project Engineer,13,180000.0
29,Female,PhD,Data Scientist,5,180000.0
42,Male,Bachelor,Content Marketing Manager,13,130000.0
48,Female,Bachelor,Front end Developer,23,173851.0
43,Other,Master,Full Stack Engineer,17,155414.0
45,Male,Bachelor,Senior Project Engineer,22,171036.0
42,Female,Bachelor,Back end Developer,16,137489.0
24,Female,High School,Sales Associate,0,25000.0
30,Female,Bachelor,Marketing Coordinator,4,50000.0
41,Other,Master,Senior HR Generalist,11,115000.0
41,Male,PhD,Software Engineer Manager,12,175000.0
36,Male,PhD,Research Scientist,12,160000.0
30,Male,Bachelor,Marketing Coordinator,5,85000.0
32,Other,Bachelor,Software Engineer,10,190000.0
44,Female,PhD,Data Scientist,18,180000.0
32,Other,Bachelor,Marketing Coordinator,4,50000.0
33,Female,Master,Data Analyst,7,95000.0
24,Female,High School,Sales Associate,1,30000.0
27,Male,Bachelor,Software Engineer,4,140000.0
29,Other,Bachelor,Marketing Analyst,3,60000.0
36,Male,Master,Marketing Director,11,160000.0
25,Female,Bachelor,Data Analyst,2,110000.0
35,Male,Master,Data Analyst,9,120000.0
28,Female,Bachelor,Back end Developer,5,100000.0
25,Male,Bachelor,Product Manager,1,55000.0
32,Female,Master,Senior Business Analyst,6,90000.0
24,Male,High School,Junior Sales Associate,1,30000.0
25,Other,Master,Data Analyst,1,100000.0
26,Male,Bachelor,Marketing Analyst,2,55000.0
26,Female,Bachelor,Senior Product Marketing Manager,5,85000.0
29,Female,Master,Data Scientist,6,160000.0
31,Other,Master,Data Scientist,6,160000.0
34,Female,Master,Product Manager,7,110000.0
30,Other,Bachelor,Software Developer,6,85000.0
27,Other,Master,Human Resources Coordinator,3,50000.0
33,Female,PhD,Research Scientist,10,150000.0
30,Other,Bachelor,Data Analyst,5,145000.0
37,Other,Bachelor,Project Manager,10,95000.0
36,Female,Master,Data Scientist,8,130000.0
21,Female,High School,Junior Sales Representative,0,25000.0
35,Female,Bachelor,Product Manager,8,165000.0
39,Male,Bachelor,Financial Manager,16,200000.0
35,Other,Master,Product Manager,7,110000.0
28,Other,Bachelor,Software Engineer,3,80000.0
31,Other,Master,Senior Project Engineer,6,125000.0
33,Female,Master,Data Analyst,8,100000.0
32,Other,Bachelor,Software Engineer,8,190000.0
31,Male,Bachelor,Data Analyst,9,195000.0
23,Male,High School,Junior Sales Associate,1,30000.0
33,Male,PhD,Data Scientist,8,190000.0
34,Other,Bachelor,Web Developer,4,65000.0
45,Other,PhD,Senior Project Engineer,14,185000.0
35,Other,Bachelor,Back end Developer,8,140000.0
49,Male,PhD,Data Scientist,22,220000.0
49,Other,Master,Director of Marketing,21,180000.0
25,Other,Master,Data Analyst,1,100000.0
32,Male,Bachelor,Software Engineer,8,190000.0
