Age,Gender,Education Level,Job Title,Years of Experience,Salary
32,Male,Bachelor,Account Manager,5,75000.0
32,Female,Bachelor,Account Manager,5,75000.0
32,Other,Bachelor,Account Manager,5,75000.0
36,Male,Bachelor,Administrative Assistant,8,45000.0
36,Female,Bachelor,Administrative Assistant,8,45000.0
36,Other,Bachelor,Administrative Assistant,8,45000.0
24,Male,Bachelor,Back end Developer,1,55935.0
24,Male,Bachelor,Back end Developer,1,55935.0
24,Male,Bachelor,Back end Developer,1,55935.0
24,Male,Bachelor,Back end Developer,1,55935.0
24,Male,Bachelor,Back end Developer,1,55935.0
24,Female,Bachelor,Back end Developer,1,55935.0
23,Female,Bachelor,Back end Developer,1,55935.0
24,Female,Bachelor,Back end Developer,1,55935.0
23,Female,Bachelor,Back end Developer,1,55935.0
23,Female,Bachelor,Back end Developer,1,55935.0
24,Other,Bachelor,Back end Developer,1,55935.0
24,Other,Bachelor,Back end Developer,1,55935.0
24,Other,Bachelor,Back end Developer,1,55935.0
24,Other,Bachelor,Back end Developer,1,55935.0
24,Other,Bachelor,Back end Developer,1,55935.0
26,Male,Bachelor,Back end Developer,2,70000.0
24,Male,Bachelor,Back end Developer,2,70000.0
24,Male,Bachelor,Back end Developer,2,70000.0
26,Male,Bachelor,Back end Developer,2,70000.0
26,Male,Bachelor,Back end Developer,2,70000.0
27,Male,Bachelor,Back end Developer,2,70000.0
24,Male,Bachelor,Back end Developer,2,70000.0
24,Male,Bachelor,Back end Developer,2,70000.0
28,Female,Bachelor,Back end Developer,2,70000.0
28,Female,Bachelor,Back end Developer,2,70000.0
28,Female,Bachelor,Back end Developer,2,70000.0
28,Female,Bachelor,Back end Developer,2,70000.0
28,Female,Bachelor,Back end Developer,2,70000.0
28,Female,Bachelor,Back end Developer,2,70000.0
28,Female,Bachelor,Back end Developer,2,70000.0
28,Female,Bachelor,Back end Developer,2,70000.0
28,Other,Bachelor,Back end Developer,2,70000.0
28,Other,Bachelor,Back end Developer,2,70000.0
28,Other,Bachelor,Back end Developer,2,70000.0
28,Other,Bachelor,Back end Developer,2,70000.0
28,Other,Bachelor,Back end Developer,2,70000.0
28,Other,Bachelor,Back end Developer,2,70000.0
28,Other,Bachelor,Back end Developer,2,70000.0
28,Other,Bachelor,Back end Developer,2,70000.0
27,Male,Bachelor,Back end Developer,3,80000.0
27,Male,Bachelor,Back end Developer,3,80000.0
27,Male,Bachelor,Back end Developer,3,80000.0
27,Male,Bachelor,Back end Developer,3,80000.0
27,Male,Bachelor,Back end Developer,3,80000.0
27,Male,Bachelor,Back end Developer,3,80000.0
27,Male,Bachelor,Back end Developer,3,80000.0
27,Male,Bachelor,Back end Developer,3,80000.0
