Feature,Importance
Years of Experience,0.7267105387579018
Job Title_Data Scientist,0.052967237813726475
Job Title_Software Engineer,0.05051045186945128
Job Title_Data Analyst,0.03459038029225393
Age,0.02628706480254691
Job Title_Product Manager,0.02338520206157227
Education Level_High School,0.009563039552715423
Education Level_PhD,0.008091868341805662
Job Title_Back end Developer,0.006081660940218176
Job Title_Software Engineer Manager,0.005672828048865696
Education Level_Bachelor,0.005618462304920312
Job Title_Full Stack Engineer,0.0055452956847256004
Job Title_Financial Manager,0.0052178282702965975
Job Title_Senior Project Engineer,0.00428646007040292
Job Title_Senior Software Engineer,0.0038707434175581945
Job Title_Marketing Director,0.002738080403374629
Job Title_Front end Developer,0.0025274852096758586
Job Title_Marketing Manager,0.002378744811350883
Job Title_Sales Director,0.002008085647837495
Job Title_Director of Data Science,0.0018101114251926097
Education Level_Master,0.0017191677014211464
Job Title_Director of HR,0.001604346523584171
Job Title_Director of Marketing,0.0011209516043764259
Job Title_Junior HR Coordinator,0.0009936005860984617
Job Title_Senior Research Scientist,0.0008026256863941304
Job Title_Senior Human Resources Manager,0.000728979980430019
Job Title_Junior Software Developer,0.0006910585066294272
Job Title_Senior Product Marketing Manager,0.0006778722124964208
Job Title_Junior HR Generalist,0.0005023778191618101
Job Title_Event Coordinator,0.00048793997303530734
Job Title_Research Director,0.00046472907538096887
Job Title_CEO,0.0004584801305758191
Job Title_Human Resources Manager,0.0004244807115873693
Job Title_Sales Manager,0.0004157347759578301
Job Title_Senior Marketing Analyst,0.00038673668099662
Job Title_Web Developer,0.00034414985869021987
Job Title_Digital Marketing Manager,0.0003340443998702463
Job Title_Senior Project Coordinator,0.00032104916304669345
Job Title_Operations Manager,0.00031972151036596224
Job Title_Junior Sales Associate,0.0003034430927952244
Job Title_Marketing Coordinator,0.0002966798272250059
Job Title_Senior Data Scientist,0.00029242901366489975
Job Title_Administrative Assistant,0.0002702373373547771
Job Title_Chief Data Officer,0.00025684552808869323
Job Title_Junior Marketing Manager,0.0002467890028022777
Job Title_HR Manager,0.00023474474436569536
Job Title_Software Developer,0.00023420710023663838
Job Title_Training Specialist,0.0002323296169418108
Job Title_Human Resources Coordinator,0.0002197617200145122
Job Title_HR Generalist,0.00020567514875361332
Job Title_Senior HR Generalist,0.0001969430314790509
Job Title_Recruiter,0.00018887374116756373
Job Title_Project Manager,0.00018879057037213097
Job Title_Front End Developer,0.00016946805089946873
Job Title_Junior Business Operations Analyst,0.00015725539781261813
Job Title_Office Manager,0.00014704470777625412
Job Title_Sales Representative,0.0001399130635982381
Job Title_Sales Associate,0.00013703533293541644
Job Title_Financial Analyst,0.00013578804106603135
Job Title_Customer Service Manager,0.00012612035555800997
Job Title_Principal Scientist,0.00012271766613359018
Job Title_Supply Chain Manager,0.00012157736703447767
Job Title_Chief Technology Officer,0.00011463916925244712
Job Title_Supply Chain Analyst,0.00011259171197975204
Job Title_Senior Data Analyst,0.00010655458122913613
Job Title_Senior Graphic Designer,0.00010427143087408824
Job Title_Senior Sales Representative,0.00010367351856061626
Job Title_Senior Accountant,0.00010050372288601079
Job Title_Senior Project Manager,9.93980577494972e-05
Job Title_Research Scientist,9.597209378911266e-05
Job Title_Product Designer,9.189153565699133e-05
Job Title_Content Marketing Manager,9.131567228099863e-05
Job Title_Senior Account Executive,9.076793442040007e-05
Job Title_Financial Advisor,6.898132682972508e-05
Job Title_Customer Service Representative,6.50639298475644e-05
Job Title_Sales Operations Manager,5.9743269320019743e-05
Job Title_Creative Director,5.8073147091666603e-05
Job Title_IT Manager,5.6179052383839615e-05
Job Title_Senior Marketing Coordinator,5.3127478487001534e-05
Job Title_Public Relations Manager,5.0113589293053285e-05
Job Title_Senior Financial Manager,4.643188366868435e-05
Job Title_Senior Marketing Manager,4.3607501942547853e-05
Job Title_Senior UX Designer,4.2730348584106214e-05
Job Title_Senior Business Development Manager,3.886736580788478e-05
Job Title_Senior Product Designer,3.857974643760764e-05
Job Title_Junior Data Analyst,3.8578535248846834e-05
Job Title_Senior Engineer,3.7944212588064124e-05
Job Title_Operations Analyst,3.7240157177337974e-05
Job Title_Senior Software Developer,3.717537420849583e-05
Job Title_Software Project Manager,3.410769540382391e-05
Job Title_Senior IT Support Specialist,3.33376721930658e-05
Job Title_Senior Scientist,3.231881684019348e-05
Job Title_Senior Product Manager,3.1027278632999024e-05
Job Title_Business Analyst,3.0001551637035004e-05
Job Title_IT Support Specialist,2.9639840901556875e-05
Job Title_VP of Finance,2.8849325219378626e-05
Job Title_Principal Engineer,2.8569071257083188e-05
Job Title_Junior Web Developer,2.4502369350793704e-05
Job Title_Sales Executive,2.4157531831823446e-05
Job Title_Senior Financial Analyst,2.235184214548929e-05
Gender_Female,2.1498188188176498e-05
Job Title_Junior Sales Representative,2.1283208845463946e-05
Job Title_Junior Accountant,2.0153994419848717e-05
Job Title_Junior Customer Support Specialist,1.9082267631828152e-05
Job Title_Senior Account Manager,1.887290088550844e-05
Job Title_UX Researcher,1.884199715628666e-05
Gender_Male,1.8187967541246764e-05
Job Title_Senior Financial Advisor,1.8125503966811188e-05
Job Title_Social Media Specialist,1.661172303529967e-05
Job Title_Senior Marketing Specialist,1.6195155170201758e-05
Job Title_Junior Marketing Analyst,1.6140514600877215e-05
Job Title_Senior Quality Assurance Analyst,1.5853215543819483e-05
Job Title_Social Media Manager,1.537341918540093e-05
Job Title_Senior Data Engineer,1.516310835385573e-05
Job Title_Junior Recruiter,1.4533028124838954e-05
Job Title_Junior Account Manager,1.4215667975329108e-05
Job Title_Senior Consultant,1.3061990140023552e-05
Job Title_Senior Business Analyst,1.2998144439591598e-05
Job Title_Senior Operations Analyst,1.2170661699114642e-05
Job Title_Senior Operations Manager,1.1064352804485307e-05
Job Title_Senior HR Manager,9.843241415467097e-06
Job Title_Junior Web Designer,9.706012370476295e-06
Job Title_Business Development Manager,9.499551844400561e-06
Job Title_Senior Sales Manager,9.108163881394983e-06
Job Title_Senior IT Consultant,7.63592713319702e-06
Job Title_Junior Business Development Associate,7.293938632313536e-06
Job Title_Junior Copywriter,7.120810204539397e-06
Job Title_Senior Operations Coordinator,6.630124798202963e-06
Job Title_Junior Software Engineer,6.365281610293008e-06
Job Title_Junior Product Manager,6.3383272387713445e-06
Job Title_Senior Manager,6.055192850891561e-06
Job Title_Director of Finance,5.933219463610306e-06
Job Title_Junior Business Analyst,5.74746951767661e-06
Job Title_Senior Human Resources Specialist,5.4944877477470985e-06
Job Title_Director,5.405221154696931e-06
Job Title_Junior Social Media Specialist,5.206070140481079e-06
Job Title_Network Engineer,4.8994182937618174e-06
Job Title_Junior Advertising Coordinator,4.765569235781909e-06
Job Title_Junior Social Media Manager,4.760857377999865e-06
Job Title_Director of Operations,4.686469381906645e-06
Job Title_VP of Operations,4.34226701893786e-06
Gender_Other,3.9309259140912395e-06
Job Title_Junior Financial Analyst,3.918706550147997e-06
Job Title_Marketing Analyst,3.47589091543264e-06
Job Title_Digital Marketing Specialist,3.018743745378781e-06
Job Title_Director of Sales and Marketing,2.752118940662754e-06
Job Title_Customer Success Manager,2.69004216028336e-06
Job Title_Junior Operations Analyst,2.543116038366461e-06
Job Title_Junior Project Manager,2.2164012939964402e-06
Job Title_Director of Business Development,2.0913959613831647e-06
Job Title_IT Support,1.9461773566312493e-06
Job Title_Data Entry Clerk,1.9372283428369198e-06
Job Title_Help Desk Analyst,1.9206242427012445e-06
Job Title_Director of Product Management,1.8499673200400497e-06
Job Title_Technical Writer,1.746019135687837e-06
Job Title_Junior Marketing Coordinator,1.702765002349724e-06
Job Title_Delivery Driver,1.3392188515337175e-06
Job Title_Junior Marketing Specialist,1.1976182470339031e-06
Job Title_Juniour HR Generalist,9.080861546102445e-07
Job Title_Digital Content Producer,8.870109848133149e-07
Job Title_Graphic Designer,7.004286930324533e-07
Job Title_Customer Success Rep,6.681154307029906e-07
Job Title_Senior IT Project Manager,6.123165648691501e-07
Job Title_Senior Marketing Director,6.037285631081491e-07
Job Title_Director of Human Resources,4.4542683241681807e-07
Job Title_Junior Developer,4.3691130930646266e-07
Job Title_Account Manager,4.031014653477647e-07
Job Title_UX Designer,1.6855899929227268e-07
Job Title_Human Resources Director,1.4279734268460308e-07
Job Title_Director of Engineering,1.3309769383826395e-07
Job Title_Receptionist,1.2729164914649027e-07
Job Title_Junior Operations Manager,4.9718844435037895e-08
Job Title_Juniour HR Coordinator,4.994094795504685e-09
Job Title_Junior Data Scientist,7.79769902869346e-10
Job Title_Junior UX Designer,6.169918206075241e-10
