Education Level,Job Title,Years of Experience,Salary
Master,Back end Developer,9,150000
Master,Front end Developer,4,75969
Master,Data Analyst,1,100000
Bachelor,Marketing Analyst,3,60000
Bachelor,Software Developer,5,80000
Bachelor,Data Analyst,9,190000
Bachelor,Junior Marketing Manager,6,72000
Bachelor,Financial Manager,4,55000
Master,Product Manager,11,195000
Master,Marketing Manager,9,130000
Bachelor,Back end Developer,5,100000
High School,Junior Sales Associate,1,25000
Bachelor,Software Engineer,2,70000
Bachelor,Senior Project Manager,15,120000
Master,Back end Developer,8,140000
Master,Data Scientist,10,195000
Bachelor,Software Engineer,4,75000
Master,Data Scientist,9,140000
Bachelor,Content Marketing Manager,13,130000
Bachelor,Director of Marketing,8,80000
Master,Financial Analyst,6,100000
Bachelor,Junior Software Developer,2,37000
PhD,Data Scientist,9,145000
Bachelor,Junior Software Developer,2,36000
Bachelor,Data Analyst,2,100000
Master,Senior Software Engineer,8,105000
High School,Junior Sales Associate,1,30000
Master,Senior Data Scientist,9,125000
Master,Product Manager,7,110000
Master,Human Resources Manager,14,146000
Bachelor,Product Designer,1,45000
Bachelor,Graphic Designer,2,50000
Bachelor,Software Engineer,4,75000
Bachelor,Junior Business Operations Analyst,1,35000
PhD,Software Engineer Manager,16,185000
PhD,Senior Research Scientist,12,140000
Bachelor,Product Designer,2,55000
Bachelor,Software Engineer,5,90000
Bachelor,Software Engineer,3,70000
Master,Senior Data Scientist,8,120000
Bachelor,Sales Director,9,140000
Bachelor,Front end Developer,2,65000
Master,Product Manager,14,180000
Bachelor,Software Engineer,1,50000
Master,Data Analyst,9,120000
PhD,Data Scientist,8,190000
Bachelor,Software Engineer,4,140000
Bachelor,Software Engineer,12,195000
Master,Senior Human Resources Manager,6,80000
PhD,Director of Data Science,16,200000
Bachelor,Junior Marketing Manager,6,72000
Bachelor,Data Analyst,2,95000
Master,Full Stack Engineer,7,140000
PhD,Senior Human Resources Manager,10,110000
PhD,Director of Marketing,6,105000
Bachelor,Junior Sales Representative,2,40000
Bachelor,Software Engineer,4,71000
Bachelor,Data Analyst,1,90000
Master,Senior Software Engineer,20,174938
Bachelor,Marketing Coordinator,4,65000
PhD,Senior Product Marketing Manager,17,170000
Master,Senior Project Engineer,8,122354
Master,Data Scientist,6,150000
PhD,Software Engineer Manager,18,200000
PhD,Full Stack Engineer,23,181021
Bachelor,Marketing Analyst,3,60000
PhD,Senior Project Engineer,16,190000
Master,Director of HR,12,120000
Master,Senior Project Engineer,10,113334
Bachelor,Front end Developer,1,55000
Master,Financial Manager,8,120000
Master,Marketing Director,14,170000
Master,Marketing Director,14,190000
Bachelor,Operations Manager,6,75000
Bachelor,Software Engineer,4,140000
PhD,Software Engineer Manager,29,194778
PhD,Software Engineer Manager,17,195000
Master,Software Engineer,9,120000
High School,Junior Sales Associate,1,30000
PhD,Data Scientist,5,100000
Bachelor,Human Resources Manager,6,75000
Bachelor,Junior Sales Representative,1,40000
Bachelor,Front end Developer,11,136062
Master,Senior Software Engineer,31,193746
PhD,Research Scientist,11,155000
Bachelor,Full Stack Engineer,6,115000
Master,Financial Analyst,6,100000
Bachelor,Data Analyst,1,95000
Bachelor,Product Manager,7,120000
Master,Data Scientist,9,140000
PhD,Director of HR,11,115000
Bachelor,Marketing Manager,7,120000
Bachelor,Front End Developer,4,80000
PhD,Software Engineer Manager,1,106686
Bachelor,Operations Manager,11,119000
PhD,Senior Software Engineer,12,160000
PhD,Data Scientist,18,180000
Master,Product Manager,11,198000
Bachelor,Operations Manager,19,174000
Bachelor,Product Designer,3,60000
Master,Marketing Manager,9,130000
Master,Data Scientist,6,180000
Master,Full Stack Engineer,5,105000
Master,Data Scientist,6,150000
PhD,Software Engineer Manager,15,185000
Master,Web Developer,4,65000
Bachelor,Back end Developer,1,55935
PhD,Data Scientist,7,185000
PhD,Senior Project Engineer,17,195000
Bachelor,Software Developer,6,85000
Bachelor,Junior Sales Representative,6,75000
Bachelor,Senior Project Engineer,21,167015
PhD,Data Scientist,22,220000
Bachelor,Project Manager,10,130000
Master,Web Developer,6,80000
Master,Full Stack Engineer,8,140000
Bachelor,Junior Data Analyst,3,52000
PhD,Data Scientist,13,140000
Bachelor,Front end Developer,2,65000
PhD,Software Engineer Manager,19,195000
Master,Human Resources Coordinator,3,50000
Master,Product Manager,7,120000
High School,Junior Sales Associate,2,30000
Master,Senior Software Engineer,8,139817
Bachelor,Software Engineer,5,75000
Bachelor,Full Stack Engineer,6,115000
Bachelor,Operations Manager,11,119000
Bachelor,Senior Project Coordinator,11,95000
Bachelor,Software Engineer,3,70000
Master,Senior Training Specialist,12,100000
High School,Receptionist,0,25000
Bachelor,Back end Developer,4,72389
Master,Sales Representative,3,45000
Bachelor,Junior Data Analyst,2,50000
PhD,Research Director,11,170000
Bachelor,Data Analyst,2,95000
High School,Junior Sales Associate,1,30000
Bachelor,Back end Developer,14,136449
Bachelor,Marketing Analyst,3,50000
PhD,Data Scientist,18,180000
Bachelor,Financial Manager,15,210000
High School,Receptionist,0,25000
Bachelor,Data Analyst,9,190000
Bachelor,Accountant,4,55000
Bachelor,Full Stack Engineer,6,115000
PhD,Senior Marketing Manager,13,140000
Master,Back end Developer,6,130000
Master,Software Engineer,2,60000
Bachelor,Front End Developer,4,80000
Bachelor,Software Engineer,8,190000
Master,Full Stack Engineer,3,88678
PhD,Research Director,12,170000
Bachelor,Junior Software Engineer,1,55000
PhD,Senior Project Engineer,14,180000
PhD,Senior Engineer,12,115000
PhD,Research Scientist,22,160000
Bachelor,Junior Software Engineer,1,55000
High School,Sales Associate,0,25000
Bachelor,Graphic Designer,2,50000
Bachelor,Data Analyst,3,130000
Bachelor,Product Designer,3,60000
Bachelor,Data Analyst,9,195000
Bachelor,Front end Developer,2,65000
Master,Software Engineer Manager,13,170000
Bachelor,Data Analyst,9,195000
Bachelor,Marketing Analyst,3,65000
Bachelor,Senior Project Engineer,25,166958
Bachelor,Customer Service Manager,22,130000
Bachelor,Software Developer,3,65000
Bachelor,Junior Sales Representative,3,45000
Master,Senior Data Scientist,8,120000
Bachelor,Content Marketing Manager,12,120000
Bachelor,Technical Recruiter,8,70000
PhD,Senior Research Scientist,13,145000
Master,Digital Marketing Manager,14,140000
Bachelor,Front end Developer,10,128712
Master,Director of Marketing,9,95000
Master,Human Resources Coordinator,3,49000
PhD,Software Engineer Manager,32,191267
Bachelor,Software Engineer,4,140000
Master,Marketing Manager,13,130000
Master,Marketing Coordinator,2,40000
High School,Junior Sales Associate,2,31000
Bachelor,Front End Developer,4,80000
Bachelor,Product Manager,12,150000
Bachelor,Software Engineer,5,75000
Bachelor,Software Developer,2,55000
Bachelor,Human Resources Manager,9,99000
Bachelor,Digital Marketing Manager,6,95000
Master,Full Stack Engineer,3,68472
Master,Product Manager,12,196000
Master,Data Scientist,9,140000
Master,Product Manager,11,195000
Master,Senior Marketing Manager,25,170000
Master,Software Engineer Manager,16,149748
Master,Web Developer,5,70000
Master,Human Resources Manager,11,120000
PhD,Director of Marketing,6,105000
Bachelor,Data Analyst,2,90000
Master,Full Stack Engineer,9,132638
PhD,Senior Software Engineer,12,170000
PhD,Software Engineer Manager,15,185000
Master,Marketing Coordinator,9,100000
Bachelor,Marketing Coordinator,5,85000
Master,Product Manager,11,198000
Bachelor,Sales Associate,2,45000
PhD,Software Engineer Manager,16,185000
PhD,Senior HR Manager,18,160000
Master,Senior Software Engineer,7,100000
Bachelor,Marketing Analyst,4,70000
Master,Back end Developer,6,130000
Master,Full Stack Engineer,6,115000
Master,Front end Developer,5,105000
Bachelor,Front end Developer,4,90000
Bachelor,Financial Manager,16,200000
Bachelor,Full Stack Engineer,7,130000
PhD,Data Scientist,24,240000
Master,Marketing Manager,7,110000
Master,Front end Developer,3,73218
Master,Senior Project Engineer,12,165000
Bachelor,Back end Developer,10,114776
PhD,Data Scientist,14,140000
PhD,Director of Data Science,16,200000
Master,Full Stack Engineer,19,177347
Bachelor,Junior Software Developer,2,36000
Bachelor,Product Designer,2,55000
Bachelor,Graphic Designer,2,50000
Master,Data Analyst,6,150000
Master,Marketing Manager,9,130000
PhD,Data Scientist,5,100000
Bachelor,Back end Developer,1,60000
Master,Software Engineer Manager,14,142360
Bachelor,Junior Project Manager,2,40000
Master,Software Engineer,6,170000
Master,Content Marketing Manager,4,80000
PhD,Data Scientist,16,160000
PhD,Data Scientist,6,170000
PhD,Senior Project Engineer,17,195000
Bachelor,Junior HR Coordinator,4,50000
Bachelor,Product Designer,2,50000
PhD,Data Scientist,9,145000
PhD,Software Engineer Manager,15,185000
Bachelor,Recruiter,9,60000
Bachelor,Software Engineer,4,75000
Bachelor,Software Engineer,3,80000
Master,Marketing Manager,9,130000
Master,Senior Software Engineer,9,150000
Bachelor,Product Designer,1,50000
PhD,Research Scientist,13,185000
High School,Back end Developer,1,52807
Master,Senior Project Engineer,5,100867
Bachelor,Back end Developer,5,100000
Bachelor,Data Analyst,5,160000
PhD,Data Scientist,8,190000
Master,Full Stack Engineer,8,122970
Master,Data Scientist,6,180000
High School,Junior Sales Associate,1,30000
Bachelor,Product Manager,1,60000
PhD,Senior Research Scientist,11,135000
Master,Back end Developer,2,70000
Bachelor,Product Manager,1,55000
High School,Sales Manager,2,40000
Bachelor,Junior Software Engineer,2,48000
Master,Human Resources Manager,11,120000
Master,Marketing Coordinator,9,100000
PhD,Software Engineer Manager,32,191267
Master,Senior Human Resources Manager,4,70000
PhD,Data Scientist,8,140000
Bachelor,Marketing Coordinator,4,65000
Bachelor,Product Designer,3,60000
Master,Senior Software Engineer,8,139817
Master,Data Analyst,1,100000
Bachelor,Software Engineer,3,65000
Master,Front end Developer,5,76742
Bachelor,Marketing Coordinator,5,95000
Master,Senior Project Engineer,6,125000
Bachelor,Back end Developer,5,100000
High School,Junior HR Generalist,2,35000
Bachelor,Data Analyst,11,160000
Bachelor,Data Analyst,5,145000
Master,Data Analyst,9,120000
Master,Marketing Coordinator,8,85000
Bachelor,Operations Manager,10,113000
Bachelor,Junior Web Developer,3,50000
Master,Product Manager,10,195000
Bachelor,Digital Marketing Specialist,4,65000
Bachelor,Junior Software Developer,2,35000
Bachelor,Marketing Manager,3,65000
Bachelor,Data Analyst,1,92000
High School,Sales Executive,1,35000
Bachelor,Data Analyst,7,130000
Master,Senior Project Engineer,6,125000
PhD,Software Engineer Manager,25,181714
Bachelor,Senior Software Engineer,7,175000
Bachelor,Web Developer,3,60000
Master,Data Analyst,8,100000
PhD,Software Engineer Manager,18,200000
Master,Senior Software Engineer,10,155000
Master,Data Analyst,9,120000
Master,Software Engineer,2,60000
PhD,Software Engineer Manager,15,144496
Bachelor,Senior Project Engineer,21,167015
Master,Senior HR Generalist,10,105000
Bachelor,Data Analyst,5,145000
Bachelor,Software Engineer,4,160000
Bachelor,Back end Developer,5,100000
Bachelor,Junior Data Analyst,2,50000
Bachelor,Product Manager,1,60000
Bachelor,Financial Manager,4,55000
Master,Senior Software Engineer,16,138286
Master,Senior Project Engineer,8,101332
Bachelor,Project Manager,8,120000
Bachelor,Full Stack Engineer,6,115000
Master,Full Stack Engineer,9,135596
Bachelor,Software Engineer,3,125000
Master,Web Developer,5,80000
Bachelor,Software Engineer,7,120000
Bachelor,Web Developer,5,70000
Bachelor,Content Marketing Manager,3,55000
Bachelor,Operations Manager,6,75000
PhD,Data Scientist,8,140000
Bachelor,Full Stack Engineer,4,77606
Bachelor,Product Manager,13,160000
Bachelor,Junior Software Developer,2,36000
Master,Digital Marketing Manager,4,55000
PhD,Data Scientist,8,140000
Bachelor,Marketing Analyst,3,60000
Bachelor,Financial Manager,16,200000
Bachelor,Sales Director,7,90000
Master,Full Stack Engineer,33,188232
PhD,Software Engineer Manager,16,151310
Master,Marketing Director,11,160000
High School,Delivery Driver,0,28000
Bachelor,Marketing Analyst,2,50000
Bachelor,Sales Manager,15,150000
Bachelor,Software Engineer,4,80000
High School,Back end Developer,1,52807
High School,Receptionist,0,25000
Bachelor,Junior Web Developer,2,45000
Master,Senior Software Engineer,9,155000
Bachelor,Software Developer,2,60000
PhD,Senior Data Scientist,15,150000
Master,Senior Software Engineer,27,186794
Master,Full Stack Engineer,19,176643
Master,Product Manager,3,130000
Master,Full Stack Engineer,6,115000
Bachelor,Data Analyst,1,90000
PhD,Research Director,10,150000
PhD,Software Engineer Manager,18,210000
Master,Data Analyst,9,120000
Master,Web Developer,3,60000
Master,Digital Marketing Manager,3,50000
PhD,Research Director,12,170000
High School,Full Stack Engineer,2,69032
Bachelor,Human Resources Manager,8,92000
Master,Full Stack Engineer,13,146508
PhD,Director of HR,13,125000
PhD,Software Engineer Manager,15,185000
Master,Product Manager,7,110000
Master,Data Scientist,6,150000
Bachelor,Software Engineer,4,140000
Master,Senior Project Manager,21,135000
Master,Marketing Manager,10,110000
Bachelor,Project Manager,8,120000
Master,Full Stack Engineer,4,110000
PhD,Research Scientist,13,185000
Bachelor,Junior Financial Analyst,5,50000
Bachelor,Marketing Analyst,2,50000
Master,Marketing Director,14,195000
PhD,Research Scientist,10,150000
Bachelor,Junior Software Developer,1,35000
High School,Receptionist,0,25000
High School,Junior Sales Representative,0,25000
Bachelor,Back end Developer,2,64182
Bachelor,Marketing Coordinator,4,57000
Master,Senior Software Engineer,6,113563
Master,Full Stack Engineer,10,152039
Master,Senior Software Developer,9,110000
High School,Junior Sales Representative,0,25000
Master,Senior Software Engineer,22,182506
Bachelor,Technical Support Specialist,2,40000
Master,Marketing Manager,9,135000
Master,Senior Software Engineer,10,155000
PhD,Software Engineer Manager,14,190000
PhD,Director of HR,13,125000
Bachelor,Operations Manager,6,90000
Bachelor,Back end Developer,2,90249
Bachelor,Software Engineer,4,75000
Bachelor,Front end Developer,3,80000
Master,Content Marketing Manager,19,190000
Master,Senior Software Engineer,21,180367
Bachelor,Data Analyst,11,160000
Bachelor,Project Manager,8,120000
Bachelor,Product Manager,9,185000
High School,Sales Associate,1,35000
Bachelor,Financial Manager,16,215000
Bachelor,Back end Developer,2,63789
High School,Junior Sales Associate,1,25000
PhD,Software Engineer Manager,16,185000
PhD,Senior Product Marketing Manager,9,95000
PhD,Data Scientist,7,185000
Master,Software Engineer,6,170000
Master,Senior Human Resources Manager,4,70000
Bachelor,Marketing Manager,3,65000
PhD,Software Engineer Manager,16,185000
Master,Back end Developer,6,130000
Master,Digital Marketing Manager,15,150000
Bachelor,Software Engineer,8,190000
Bachelor,Junior Marketing Manager,5,70000
Bachelor,Marketing Analyst,3,65000
Master,Human Resources Coordinator,3,50000
Bachelor,Software Engineer,1,50000
Bachelor,Product Manager,7,120000
Bachelor,Junior Software Developer,2,36000
Master,Senior Software Engineer,21,180367
Bachelor,Web Developer,5,70000
Bachelor,Marketing Analyst,3,60000
Bachelor,Junior Marketing Coordinator,2,40000
Bachelor,Data Analyst,2,90000
PhD,Software Engineer Manager,12,169159
Master,Marketing Director,14,180000
Master,Full Stack Engineer,17,155414
Bachelor,Software Engineer,4,160000
Bachelor,Product Designer,2,55000
PhD,Senior Product Marketing Manager,15,150000
PhD,Software Engineer Manager,17,195000
Master,Financial Analyst,6,100000
PhD,Director of Marketing,12,170000
Bachelor,Software Engineer,1,60000
PhD,Data Scientist,2,115000
Master,Marketing Manager,11,117000
Bachelor,Senior Project Engineer,3,70397
Bachelor,Product Manager,1,60000
Master,Front end Developer,1,55000
Bachelor,Front end Developer,11,136285
Master,Data Scientist,6,150000
Bachelor,Financial Manager,12,120000
Master,Content Marketing Manager,19,190000
Master,Full Stack Engineer,12,160976
Master,Senior Human Resources Manager,6,80000
Bachelor,Software Engineer,3,80000
Bachelor,Marketing Manager,7,110000
High School,Delivery Driver,0,28000
Bachelor,Software Engineer Manager,8,135000
Master,Senior Software Engineer,24,184480
PhD,Data Scientist,7,170000
High School,Receptionist,0,25000
PhD,Senior Project Engineer,15,180000
Bachelor,Software Engineer,6,155000
Bachelor,Back end Developer,3,80000
Bachelor,Front end Developer,3,80000
Bachelor,Front end Developer,1,55000
Master,Data Analyst,7,95000
Bachelor,Marketing Coordinator,5,90000
High School,Sales Associate,1,35000
PhD,Research Scientist,13,185000
Master,Director of HR,9,95000
Master,Senior Project Engineer,4,92438
Bachelor,Software Engineer,8,180000
PhD,Data Scientist,14,140000
Bachelor,Front end Developer,1,550
PhD,Software Engineer Manager,16,190000
PhD,Sales Representative,4,55000
Bachelor,Operations Manager,8,101000
Master,Financial Analyst,4,90000
Master,Senior Software Engineer,20,174938
Master,Data Scientist,6,155000
PhD,Senior Project Engineer,13,185000
High School,Junior HR Coordinator,3,38000
PhD,Senior Data Scientist,12,170000
Master,Back end Developer,9,150000
Bachelor,Human Resources Manager,6,75000
Bachelor,Software Engineer,3,80000
PhD,Senior Product Marketing Manager,17,170000
Bachelor,Sales Manager,11,160000
Master,Director of HR,12,120000
PhD,Director of HR,11,115000
Bachelor,Marketing Coordinator,4,65000
Bachelor,Human Resources Manager,6,75000
Master,Software Engineer,2,60000
PhD,Senior Project Engineer,16,190000
Bachelor,Front end Developer,1,55000
High School,Junior HR Generalist,2,35000
High School,Juniour HR Generalist,2,43000
Bachelor,Junior Web Developer,3,50000
Bachelor,Operations Manager,10,113000
Bachelor,Financial Manager,21,250000
High School,Sales Executive,1,35000
Bachelor,Back end Developer,3,85000
PhD,Director of Engineering,20,180000
PhD,Director of HR,15,150000
PhD,Software Engineer Manager,22,178684
High School,Junior Sales Representative,0,25000
Bachelor,Front end Developer,6,110000
Master,Project Engineer,14,115000
Master,Marketing Manager,12,125000
Bachelor,Front End Developer,4,80000
Bachelor,Marketing Coordinator,3,45000
Bachelor,Junior Operations Coordinator,2,40000
Master,Full Stack Engineer,10,151901
Bachelor,Digital Marketing Specialist,4,65000
Master,Data Scientist,6,180000
Bachelor,Software Developer,6,85000
Master,Senior Data Scientist,8,120000
Bachelor,Junior Data Analyst,2,50000
High School,Receptionist,0,25000
Master,Full Stack Engineer,24,192756
PhD,Data Scientist,5,100000
Bachelor,Junior Web Developer,2,45000
Master,Human Resources Manager,13,140000
Master,Full Stack Engineer,3,100000
Master,Product Manager,11,198000
Master,Product Manager,11,195000
Master,Product Manager,11,190000
PhD,Senior Project Engineer,16,185000
Bachelor,Junior Software Developer,1,35000
Bachelor,Marketing Analyst,2,50000
Master,Full Stack Engineer,4,102859
Master,Full Stack Engineer,28,191239
Bachelor,Junior Operations Manager,1,35000
PhD,Software Engineer Manager,24,192211
Bachelor,Front end Developer,3,80000
Master,Full Stack Engineer,6,115000
Master,Software Engineer Manager,12,160000
Master,Marketing Manager,20,204000
PhD,Data Scientist,18,180000
Master,Front end Developer,5,105000
PhD,Data Scientist,8,190000
PhD,Director of HR,9,95000
Bachelor,Product Manager,5,80000
PhD,Senior Project Engineer,17,195000
Bachelor,Data Analyst,3,130000
Master,Senior Operations Manager,7,115000
Master,Director of Marketing,21,180000
Bachelor,Software Engineer,4,65000
Bachelor,Junior Web Developer,2,45000
